design,n,d,s,lambda,exact_hoffman,lower_bound,upper_bound,weyl_bound,lambda_min_AA,condition_number_AA,true_interaction_norm,interaction_norm_bound,max_leverage,inactive_leverage_sum,active_amplification,lower_gap,upper_gap,weyl_gap,lower_ratio,upper_ratio,weyl_ratio
Gaussian,200,200,10,0.1,16.0986810645227,10.0,28.38638092048923,inf,0.686944849133732,1.944757014039856,1.2630429667540803,3.6399837590607187,0.12568790526982165,9.917716137745039,1.3359408136113775,6.098681064522701,12.28769985596653,inf,1.6098681064522702,1.7632736996725413,inf
Gaussian,200,400,10,0.1,20.045944802636136,10.0,35.20066978273623,inf,0.6795491803074749,1.98907243573326,1.7125094494057758,5.16432156272738,0.1446208318496146,19.73127096200119,1.3516725432747299,10.045944802636136,15.154724980100092,inf,2.0045944802636138,1.7559995365300605,inf
Gaussian,200,800,10,0.1,27.651465208753173,10.0,48.358586876566676,inf,0.639667314202871,2.232715537503019,2.4536734243950904,7.529193459128729,0.15195149772695513,39.692582694479285,1.428195151253574,17.651465208753173,20.707121667813503,inf,2.765146520875317,1.7488616430082913,inf
Gaussian,200,1600,10,0.1,35.6576330671287,10.0,57.36353465664856,inf,0.6903316644375169,1.9392051356649442,3.2696547713168216,10.406370313593419,0.1551949940789814,80.89412946540524,1.3386947089893613,25.6576330671287,21.70590158951986,inf,3.56576330671287,1.608730858513703,inf
Gaussian,200,3200,10,0.1,49.44549668415139,10.0,75.64143396871391,inf,0.6968690567536995,1.8306976392307008,4.574348417373791,14.207489483335111,0.14443428588243779,158.22200518409912,1.2757565370519235,39.44549668415139,26.195937284562525,inf,4.944549668415139,1.5297941984868164,inf
Rademacher,200,200,10,0.1,16.61519695742821,10.0,27.797026739352113,inf,0.6692852634864177,2.0241887556442166,1.19112877305221,3.6005491048451774,0.11363334535069541,9.569190618628834,1.3547597046675837,6.615196957428211,11.181829781923902,inf,1.661519695742821,1.672988097015895,inf
Rademacher,200,400,10,0.1,21.085300897564025,10.0,34.304148863609385,inf,0.6765462798953075,1.9878728754293498,1.644288149969669,5.132462042158717,0.12092878495231606,19.58688503292786,1.344887998776515,11.085300897564025,13.21884796604536,inf,2.1085300897564023,1.6269224247860996,inf
Rademacher,200,800,10,0.1,27.109225294919774,10.0,44.286338249200625,inf,0.6850542304266848,2.0197180100981518,2.3488001063455144,7.403675278417631,0.1507782174167043,39.61676728620065,1.3836163670867054,17.109225294919774,17.17711295428085,inf,2.7109225294919774,1.633626109466869,inf
Rademacher,200,1600,10,0.1,36.10026297116193,10.0,58.52131464883641,inf,0.6954721585956449,2.003606444837162,3.3745223436724747,10.603694707029863,0.1603677832853314,80.69047312850957,1.3934524991670476,26.100262971161932,22.421051677674477,inf,3.6100262971161934,1.6210772396751,inf
Rademacher,200,3200,10,0.1,48.05644745572229,10.0,74.65260405285284,inf,0.7260205525409472,1.8875514868477623,4.693911931766331,14.826066525065027,0.17213889854148767,160.3999273113361,1.3704011734306987,38.05644745572229,26.596156597130545,inf,4.805644745572229,1.5534357615933931,inf
Partial DCT,200,200,10,0.1,10.000000000000021,10.0,10.000000000000004,10.000000000000048,0.9999999999999984,1.0000000000000007,4.859994161094475e-16,1.4585990357673793e-15,5.638835492306937e-32,2.1275111471415275e-30,1.0000000000000007,2.1316282072803006e-14,-1.7763568394002505e-14,2.6645352591003757e-14,1.0000000000000022,0.9999999999999982,1.0000000000000027
Partial DCT,200,400,10,0.1,16.202420175695565,10.0,22.90666942539915,inf,0.38701892713406066,1.6333314817338003,0.49951253538919643,1.7572627904230014,0.05532094787868903,4.885026100268584,0.6321301977149012,6.202420175695565,6.704249249703587,inf,1.6202420175695564,1.413780730101068,inf
Partial DCT,200,800,10,0.1,26.782862270266513,10.0,42.23119052013321,inf,0.14753907322013668,2.341856414983331,0.47553599781221095,1.6078251151301233,0.027751318488038006,7.481872476235668,0.34551532508127275,16.782862270266513,15.448328249866698,inf,2.678286227026651,1.576799002809231,inf
Partial DCT,200,1600,10,0.1,34.39117460764973,10.766383244755163,50.53501913295136,inf,0.09288170198540438,1.8408937407548558,0.37649615670794534,1.2186646163780874,0.015498707720557144,8.685793846832329,0.17098534381558875,23.62479136289457,16.14384452530163,inf,3.1943108308357284,1.4694182362038517,inf
Partial DCT,200,3200,10,0.1,56.24218495113141,25.389404188898073,82.9378956767148,inf,0.039386509134281544,2.304509843612892,0.2872769094306202,0.9217808285538415,0.010488017719184633,9.361151729383005,0.09076659800550088,30.852780762233333,26.695710725583396,inf,2.215183331309689,1.47465635890176,inf
Spiked ρ=0.3,200,200,10,0.1,37.85565662958302,10.0,252.85138653587916,inf,0.5167374003616331,6.938867017973935,12.549039415276829,13.387038390057066,0.39272787557083233,49.981646343353304,3.585572104322928,27.855656629583017,214.99572990629613,inf,3.7855656629583017,6.679355453004709,inf
Spiked ρ=0.3,200,400,10,0.1,55.519215362436206,10.0,418.19919676262026,inf,0.49573694171515026,7.789588322839153,20.235942141368223,21.433931649236033,0.4710599872995857,118.97011838427952,3.8615866923843303,45.519215362436206,362.67998140018403,inf,5.55192153624362,7.532512735141607,inf
Spiked ρ=0.3,200,800,10,0.1,74.94318950067725,10.0,627.140898789879,inf,0.45282781670145694,8.467545192824382,27.945856579619573,29.66250365086921,0.4442194712624839,229.46951033737363,3.834340002487581,64.94318950067725,552.1977092892017,inf,7.494318950067725,8.368217351947793,inf
Spiked ρ=0.3,200,1600,10,0.1,102.56852753982038,10.0,701.3051965696513,inf,0.4996072023767934,6.8994203957928315,34.53810552467027,37.121547277466256,0.41372561706828265,399.77058993784874,3.447000121963444,92.56852753982038,598.736669029831,inf,10.256852753982038,6.837430675773153,inf
Spiked ρ=0.3,200,3200,10,0.1,151.29934905168497,10.0,1312.0018937904658,inf,0.45698105326222077,8.783452538180818,59.49901967737731,62.81247787073507,0.4768806168126176,982.9431465969611,4.013871392176591,141.29934905168497,1160.702544738781,inf,15.129934905168497,8.67156337428971,inf
