design,n,d,s,lambda,exact_hoffman,lower_bound,upper_bound,weyl_bound,lambda_min_AA,condition_number_AA,true_interaction_norm,interaction_norm_bound,max_leverage,inactive_leverage_sum,active_amplification,lower_gap,upper_gap,weyl_gap,lower_ratio,upper_ratio,weyl_ratio
Gaussian,200,400,5,0.1,18.968387438247362,10.0,28.514382191576672,inf,0.8521867808362975,1.3827234369498163,1.5777711759012596,3.3777912919669557,0.08849813790637182,9.682678372609086,1.178338634521164,8.968387438247362,9.54599475332931,inf,1.8968387438247363,1.5032581069111344,inf
Gaussian,200,400,10,0.1,20.033516903746573,10.0,33.82045908907101,inf,0.7433694393534576,1.8972508996006217,1.7707401318184683,5.281251594676039,0.12621234953929908,19.77626370808762,1.4103583375489561,10.033516903746573,13.786942185324435,inf,2.0033516903746573,1.6881938029935257,inf
Gaussian,200,400,20,0.1,22.748160796901452,10.0,46.10595255889699,inf,0.5005515652392319,3.2558721057570055,1.8072891067809338,7.791704879268123,0.21194313371431242,37.251934331660564,1.6297318787554198,12.748160796901452,23.357791761995536,inf,2.274816079690145,2.0267991320501446,inf
Gaussian,200,400,30,0.1,25.649176988706817,10.0,62.41365345460858,inf,0.3766204130218053,4.9279115179974715,1.9740051812056458,10.130450514447311,0.2708806421705389,55.295623855699326,1.8559520712431226,15.649176988706817,36.764476465901765,inf,2.5649176988706817,2.433358913702726,inf
Gaussian,200,400,40,0.1,27.373711312171675,10.0,71.63574114314011,inf,0.3335716514352287,5.702860401071637,2.055993596055152,11.827687832210884,0.33053560241033125,73.53901890719695,1.9023125618900332,17.373711312171675,44.26202983096843,inf,2.7373711312171674,2.6169539207234713,inf
Gaussian,200,400,50,0.1,29.807474246167768,10.0,100.63910460456296,inf,0.2364105417865545,9.64299999062625,2.1428039826612912,14.123000191511766,0.40740197475792195,87.49332582572332,2.2797068522316906,19.807474246167768,70.83163035839519,inf,2.980747424616777,3.376304338080632,inf
Gaussian,200,400,100,0.1,43.374541921183194,10.167190897444266,255.88239722687592,inf,0.09835558416153775,27.9313566301073,2.4183906814288654,20.354561510971244,0.6214722823439203,150.8108021498301,2.747204897778463,33.20735102373893,212.50785530569271,inf,4.266128408397081,5.8993682905480656,inf
Gaussian,200,400,200,0.1,70746.61586412095,70697.31586203536,1793538.201982088,inf,1.4144808580165665e-05,270530.7889627225,2.5369113100165337,27.664440080697194,1.0000000000000018,200.0,3.8266062248924264,49.3000020855834,1722791.586117967,inf,1.0006973390925022,25.351575903317215,inf
Rademacher,200,400,5,0.1,18.726140669168238,10.0,30.228050017951734,inf,0.791369221416016,1.4941242095011709,1.600785619347069,3.3332170507759185,0.0847645717188494,9.396396435544009,1.1824039123717613,8.726140669168238,11.501909348783496,inf,1.8726140669168239,1.6142167546418618,inf
Rademacher,200,400,10,0.1,20.139088105722607,10.0,34.78352951158184,inf,0.7056222188805955,1.88539516473175,1.74878090856551,5.1202108470256915,0.13506832944656172,19.706116870256217,1.3303767196047631,10.139088105722607,14.644441405859233,inf,2.0139088105722607,1.727165069688431,inf
Rademacher,200,400,20,0.1,21.572701300255197,10.0,42.15131170105563,inf,0.5509067940324041,2.748937812772512,1.7712376053165073,7.560978369574916,0.22110162325965452,37.74965159482582,1.514408517428955,11.572701300255197,20.578610400800436,inf,2.1572701300255197,1.9539190347273292,inf
Rademacher,200,400,30,0.1,24.629751701955826,10.0,54.8371787837315,inf,0.44675555166298414,3.9987939717938064,2.0031258542537818,9.966941583631922,0.26057601995311414,55.606407621996055,1.7864834068553574,14.629751701955826,30.207427081775677,inf,2.4629751701955827,2.226460885489842,inf
Rademacher,200,400,40,0.1,26.946942109916193,10.0,65.89296739244469,inf,0.3429285400576927,5.616442519122306,1.9167293707383282,11.736786007274226,0.330021886890672,71.52097455154978,1.9260384334005576,16.946942109916193,38.946025282528495,inf,2.6946942109916194,2.445285521587875,inf
Rademacher,200,400,50,0.1,29.942649548455595,10.0,98.09920078803023,inf,0.24185481914583631,8.774423147117743,2.1307216273481773,13.595097368438427,0.3702781545273213,87.094619230765,2.1221365233552105,19.942649548455595,68.15655123957464,inf,2.9942649548455593,3.2762364809860345,inf
Rademacher,200,400,100,0.1,45.85641692476491,10.464485165885446,259.1620732737091,inf,0.09556131851187785,28.765036295178742,2.3810256245188763,20.351527884909654,0.6770927413246006,150.67700493024094,2.7488247954092975,35.391931758879466,213.30565634894418,inf,4.3820996635609255,5.65159885254244,inf
Rademacher,200,400,200,0.1,21588.50847240998,21537.424793800055,532347.887300102,inf,4.6430806355635815e-05,85987.08671615987,2.471687736099932,28.257564553239757,1.000000000000001,200.0,3.9924497724025594,51.08367860992439,510759.37882769207,inf,1.002371856389471,24.65885440767899,inf
Partial DCT,200,400,5,0.1,15.156184457632897,10.0,21.340257536225398,inf,0.4409069237835356,1.1959699540572923,0.49999980652101955,1.155753108390055,0.029052710009457174,2.5331619285946685,0.5273114333809373,5.156184457632897,6.184073078592501,inf,1.5156184457632897,1.408023080998998,inf
Partial DCT,200,400,10,0.1,16.21062614481333,10.0,22.929336683188577,inf,0.386637008780539,1.720775851432842,0.4998960060704528,1.8298487327901947,0.036172129496360644,5.032718673783576,0.6653156279797791,6.210626144813329,6.718710538375248,inf,1.621062614481333,1.4144633574517993,inf
Partial DCT,200,400,20,0.1,17.565165092439862,10.0,25.117738256775045,inf,0.3307358308180664,2.063725004685533,0.49999777224445613,2.6230895389371756,0.06462553846961415,10.080757258189626,0.6825478040046876,7.565165092439862,7.5525731643351826,inf,1.7565165092439863,1.4299745049129,inf
Partial DCT,200,400,30,0.1,19.806667108123087,10.0,29.073008357244092,inf,0.26214935399381245,2.8510136083246,0.49999768195701244,3.347389563674343,0.07734457744723744,14.992167766524009,0.7473913756498627,9.806667108123087,9.266341249121005,inf,1.9806667108123086,1.4678395006356575,inf
Partial DCT,200,400,40,0.1,21.96858669129963,10.0,33.271451662481034,inf,0.21484870646355927,3.6942367924079997,0.49998412872132963,3.9792839455735574,0.0909942852562298,19.950435799497953,0.7937019962189463,11.968586691299631,11.302864971181403,inf,2.196858669129963,1.5145012344220465,inf
Partial DCT,200,400,50,0.1,23.469746854917513,10.0,36.39926584894965,inf,0.18939004725998373,4.328963636821218,0.49997582067614493,4.54234582750228,0.11589116492740006,25.166296057293323,0.8198626277643208,13.469746854917513,12.92951899403214,inf,2.3469746854917513,1.5509015105257973,inf
Partial DCT,200,400,100,0.1,38.26123521961174,13.052034474039004,75.26008546080826,inf,0.07661640811545803,11.938921619213556,0.4999993341314954,6.782648563648074,0.23861929415293875,50.293486281195904,0.914717291236136,25.209200745572737,36.998850241196514,inf,2.9314384125873096,1.9670061624730777,inf
Partial DCT,200,400,200,0.1,219209.40139095671,219159.40733415846,1095790.3845723993,inf,4.56288877654826e-06,219158.91358643523,0.4999924018327137,10.003581234232088,0.5473282345822094,100.07186295873939,0.9999977471303888,49.99405679825577,876580.9831814426,inf,1.0002281173206589,4.998829327662245,inf
Spiked ρ=0.3,200,400,5,0.1,60.359868003000365,10.0,204.37462952568768,inf,0.6226036303692635,3.2806520957005767,12.10183499943738,12.570499410918345,0.3192444581192416,77.36298854851587,2.0425459047617136,50.359868003000365,144.0147615226873,inf,6.035986800300036,3.3859356603551327,inf
Spiked ρ=0.3,200,400,10,0.1,53.92975669555794,10.0,556.8270916082056,inf,0.39820507583682335,10.48669839778058,21.77493234834751,22.88506119940164,0.5047530655776055,125.41762923169084,4.175856530766108,43.92975669555794,502.89733491264764,inf,5.392975669555794,10.325043644301664,inf
Spiked ρ=0.3,200,400,20,0.1,43.53404045257838,10.0,719.9166311758597,inf,0.3560595590033684,17.792429938126123,25.277260262563352,28.447024456503517,0.45008338096812894,127.73672531370337,6.3351647573675205,33.53404045257838,676.3825907232813,inf,4.353404045257838,16.536866867665655,inf
Spiked ρ=0.3,200,400,30,0.1,36.46162860534934,10.0,1110.3705629932806,inf,0.3011367661677621,33.646728652842945,33.136203292599625,38.43680327608943,0.5246289064627018,145.8101960335528,10.132267058641308,26.46162860534934,1073.9089343879314,inf,3.646162860534934,30.453125805531805,inf
Spiked ρ=0.3,200,400,40,0.1,34.34396095410398,10.0,1978.9060564972037,inf,0.20657191988749404,69.6410048438721,40.67207041687422,48.413674435741974,0.579347881875423,162.9295192309354,14.38587607349291,24.343960954103977,1944.5620955430998,inf,3.434396095410398,57.62020458681926,inf
Spiked ρ=0.3,200,400,50,0.1,34.58731454338471,10.0,1917.4618585075254,inf,0.2187555296632592,75.23616321407494,41.72678291702785,52.20861711233131,0.5804264190500326,165.61463050775535,16.458326733726427,24.587314543384707,1882.8745439641407,inf,3.4587314543384706,55.43829822643071,inf
Spiked ρ=0.3,200,400,100,0.1,43.800042441099954,14.53585412751048,7403.760784238603,inf,0.06879540694532738,435.94908352015585,50.86567820080976,76.13783556669054,0.7403878822989399,193.28842187403188,29.99129460821173,29.264188313589475,7359.960741797503,inf,3.0132417439580816,169.0354705522215,inf
Spiked ρ=0.3,200,400,200,0.1,48628.950103767434,48594.56918070965,31186475.81924551,inf,2.0578431229244545e-05,3142067.1660104506,64.17685421445294,113.71790808275378,1.0000000000000016,200.00000000000003,64.6588130935882,34.38092305778264,31137846.869141743,inf,1.0007075054607426,641.315014054342,inf
Spiked ρ=0.7,200,400,5,0.1,83.34808810721523,10.0,1225.814671743079,inf,0.25872917590745054,14.852196281854352,31.456672807627438,31.616995862124554,0.7326688743387116,260.13879217258517,3.842696504419875,73.34808810721523,1142.4665836358638,inf,8.334808810721523,14.707172048940658,inf
Spiked ρ=0.7,200,400,10,0.1,62.29045803509107,10.0,2772.499438183059,inf,0.16712788235894707,46.062401514810674,46.16906811213156,46.59030390232991,0.8134643924332855,281.9652573739062,7.698311621537867,52.29045803509107,2710.208980147968,inf,6.229045803509107,44.509215787451474,inf
