Design,n,d,s,MC_Successes,H2_Upper/Exact_Median,H2_Upper/Exact_Min,H2_Upper/Exact_Max,H2_Upper/Lower_Median,H2_Upper/Lower_Min,H2_Upper/Lower_Max,H1_Upper/Exact_Median,H1_Upper/Exact_Min,H1_Upper/Exact_Max,Hinf_Upper/Exact_Median,Hinf_Upper/Exact_Min,Hinf_Upper/Exact_Max
Gaussian,100,500,5,30,1.0001683717376604,1.0001263815333354,1.0003084376272258,1.0701704020592475,1.0600207471984404,1.0884120947814095,1.000218877100147,0.9999999999999997,1.0010234436552972,1.0,0.9999999999999998,1.0000000000000002
Spiked_rho0.5,100,500,5,30,1.0004301104265196,1.000272287993448,1.000937055896148,1.0074195901496807,1.0065589566506348,1.0081179443170227,1.0004125136543345,0.9999999999999996,1.0014283719955506,1.0,0.9999999999999997,1.0000000000000002
Spiked_rho0.8,100,500,5,30,1.002649668888627,1.001360646318271,1.0042636608174702,1.0080148506883293,1.0065144600823233,1.0097163504546198,1.0012559110474823,0.9999999999999978,1.0040586359010029,1.0,0.9999999999999993,1.0000000000000007
Gaussian,100,500,10,30,1.0002190146012473,1.000134768473192,1.0007672373650682,1.0557120312204618,1.0439511284119734,1.0666287726894166,1.0005083598402953,0.9999999999999994,1.0015121062412007,1.0,0.9999999999999997,1.0000000000000002
Spiked_rho0.5,100,500,10,30,1.0013220565391165,1.0006539646533394,1.0023312294849716,1.0124619212661716,1.0107382193582153,1.0137673225674646,1.0010560188513709,0.9999999999999993,1.003810604228676,1.0,0.9999999999999998,1.0000000000000002
Spiked_rho0.8,100,500,10,30,1.006793507155725,1.0044891630097337,1.0117118566188084,1.0169147820608662,1.0139657768863957,1.0219494700107106,1.0026316723815956,0.9999999999999991,1.0066402105677037,1.0,0.9999999999999989,1.0000000000000009
Gaussian,100,500,20,30,1.0002824972374673,1.0002156796416084,1.0005180726962808,1.0376790251207406,1.0307615515914237,1.0459644414903448,1.0007887313313124,0.9999999999999998,1.0020899249070936,1.0,0.9999999999999998,1.0000000000000002
Spiked_rho0.5,100,500,20,30,1.004121398301799,1.0011851158353315,1.007741056347527,1.022039271293417,1.0134840965843663,1.0272885414495447,1.0028204192385148,0.9999999999999994,1.0091839054209124,1.0,0.9999999999999994,1.0000000000000004
Spiked_rho0.8,100,500,20,30,1.0234793859019233,1.0095717348137057,1.050251443355203,1.045296617245188,1.026728619224511,1.080204335124323,1.0052428458601543,0.9999999999999982,1.0130324511126678,1.0,0.9999999999999976,1.0000000000000013
Gaussian,100,500,40,30,1.0005357926412002,1.0002580613893723,1.0013277509970655,1.0235444260410724,1.0197102744919395,1.0301750604729007,1.0005950422919738,0.9999999999999992,1.006736156796681,1.0,0.9999999999999996,1.0000000000000002
