Bound Tightness Summary (Median [Min, Max])
Gaussian        | n=100 d=500  s=5  | H2 U/E: 1.0001683717376604 [1.0001263815333354, 1.0003084376272258] | Hinf U/E: 1.0             [0.9999999999999998, 1.0000000000000002] | H1 U/E: 1.000218877100147 [0.9999999999999997, 1.0010234436552972]
Spiked_rho0.5   | n=100 d=500  s=5  | H2 U/E: 1.0004301104265196 [1.000272287993448, 1.000937055896148] | Hinf U/E: 1.0             [0.9999999999999997, 1.0000000000000002] | H1 U/E: 1.0004125136543345 [0.9999999999999996, 1.0014283719955506]
Spiked_rho0.8   | n=100 d=500  s=5  | H2 U/E: 1.002649668888627 [1.001360646318271, 1.0042636608174702] | Hinf U/E: 1.0             [0.9999999999999993, 1.0000000000000007] | H1 U/E: 1.0012559110474823 [0.9999999999999978, 1.0040586359010029]
Gaussian        | n=100 d=500  s=10 | H2 U/E: 1.0002190146012473 [1.000134768473192, 1.0007672373650682] | Hinf U/E: 1.0             [0.9999999999999997, 1.0000000000000002] | H1 U/E: 1.0005083598402953 [0.9999999999999994, 1.0015121062412007]
Spiked_rho0.5   | n=100 d=500  s=10 | H2 U/E: 1.0013220565391165 [1.0006539646533394, 1.0023312294849716] | Hinf U/E: 1.0             [0.9999999999999998, 1.0000000000000002] | H1 U/E: 1.0010560188513709 [0.9999999999999993, 1.003810604228676]
Spiked_rho0.8   | n=100 d=500  s=10 | H2 U/E: 1.006793507155725 [1.0044891630097337, 1.0117118566188084] | Hinf U/E: 1.0             [0.9999999999999989, 1.0000000000000009] | H1 U/E: 1.0026316723815956 [0.9999999999999991, 1.0066402105677037]
Gaussian        | n=100 d=500  s=20 | H2 U/E: 1.0002824972374673 [1.0002156796416084, 1.0005180726962808] | Hinf U/E: 1.0             [0.9999999999999998, 1.0000000000000002] | H1 U/E: 1.0007887313313124 [0.9999999999999998, 1.0020899249070936]
Spiked_rho0.5   | n=100 d=500  s=20 | H2 U/E: 1.004121398301799 [1.0011851158353315, 1.007741056347527] | Hinf U/E: 1.0             [0.9999999999999994, 1.0000000000000004] | H1 U/E: 1.0028204192385148 [0.9999999999999994, 1.0091839054209124]
Spiked_rho0.8   | n=100 d=500  s=20 | H2 U/E: 1.0234793859019233 [1.0095717348137057, 1.050251443355203] | Hinf U/E: 1.0             [0.9999999999999976, 1.0000000000000013] | H1 U/E: 1.0052428458601543 [0.9999999999999982, 1.0130324511126678]
Gaussian        | n=100 d=500  s=40 | H2 U/E: 1.0005357926412002 [1.0002580613893723, 1.0013277509970655] | Hinf U/E: 1.0             [0.9999999999999996, 1.0000000000000002] | H1 U/E: 1.0005950422919738 [0.9999999999999992, 1.006736156796681]
Spiked_rho0.5   | n=100 d=500  s=40 | H2 U/E: 1.0045599109135122 [1.0012720073352885, 1.012742491156433] | Hinf U/E: 0.9999999999999998 [0.9999999999999974, 1.0000000000000016] | H1 U/E: 1.0015890309636843 [0.9999999999999981, 1.0158252801638168]
Spiked_rho0.8   | n=100 d=500  s=40 | H2 U/E: 1.0186000468070722 [1.0040184707816562, 1.0576110944726858] | Hinf U/E: 0.9999999999999999 [0.9999999999999942, 1.000000000000005] | H1 U/E: 1.0093590625238655 [0.999999999999995, 1.032988295006035]
Gaussian        | n=100 d=1000 s=5  | H2 U/E: 1.0000540066340053 [1.0000417428098698, 1.0001360368740642] | Hinf U/E: 1.0             [0.9999999999999998, 1.0000000000000002] | H1 U/E: 1.0001328637262161 [0.9999999999999998, 1.0004691908275398]
Spiked_rho0.5   | n=100 d=1000 s=5  | H2 U/E: 1.0002164781813498 [1.000155515629622, 1.0004590026951896] | Hinf U/E: 1.0             [0.9999999999999997, 1.0000000000000002] | H1 U/E: 1.0001607817528066 [0.9999999999999998, 1.0008274984400742]
Spiked_rho0.8   | n=100 d=1000 s=5  | H2 U/E: 1.0011712644927309 [1.0006953227420092, 1.0026037404249954] | Hinf U/E: 1.0             [0.9999999999999993, 1.0000000000000009] | H1 U/E: 1.0004492354621068 [0.9999999999999978, 1.0019006289191053]
Gaussian        | n=100 d=1000 s=10 | H2 U/E: 1.0000660910776427 [1.0000469067837507, 1.0001377803866565] | Hinf U/E: 1.0             [0.9999999999999999, 1.0000000000000002] | H1 U/E: 1.0001635690022366 [0.9999999999999998, 1.0007666517483373]
Spiked_rho0.5   | n=100 d=1000 s=10 | H2 U/E: 1.0006167200812417 [1.0004069290564177, 1.0015676991605866] | Hinf U/E: 1.0             [0.9999999999999996, 1.0000000000000002] | H1 U/E: 1.0005199733827403 [0.9999999999999993, 1.0017970885725476]
Spiked_rho0.8   | n=100 d=1000 s=10 | H2 U/E: 1.0039883577041808 [1.0025510846824095, 1.007398042475285] | Hinf U/E: 0.9999999999999998 [0.9999999999999991, 1.000000000000001] | H1 U/E: 1.00155964308928 [0.9999999999999976, 1.004969450688543]
Gaussian        | n=100 d=1000 s=20 | H2 U/E: 1.0000842094621443 [1.000053070607443, 1.0001820134718356] | Hinf U/E: 1.0             [0.9999999999999997, 1.0000000000000002] | H1 U/E: 1.0000969169549636 [0.9999999999999994, 1.0013804574988137]
Spiked_rho0.5   | n=100 d=1000 s=20 | H2 U/E: 1.0021458180984422 [1.0012909671690773, 1.0039205671997844] | Hinf U/E: 1.0             [0.9999999999999994, 1.0000000000000007] | H1 U/E: 1.0014368315810027 [0.9999999999999996, 1.0046427484336224]
Spiked_rho0.8   | n=100 d=1000 s=20 | H2 U/E: 1.0122679450359997 [1.008293728710621, 1.0234996337167959] | Hinf U/E: 1.0             [0.9999999999999983, 1.0000000000000022] | H1 U/E: 1.0035885180741198 [0.9999999999999978, 1.0083601457113853]
Gaussian        | n=100 d=1000 s=40 | H2 U/E: 1.0001384506171394 [1.0000748581634484, 1.000838710881228] | Hinf U/E: 1.0             [0.9999999999999996, 1.0000000000000002] | H1 U/E: 1.000516405997359 [0.9999999999999996, 1.0031212723895]
Spiked_rho0.5   | n=100 d=1000 s=40 | H2 U/E: 1.001946547530371 [1.0002899305818846, 1.0074372372518938] | Hinf U/E: 1.0             [0.9999999999999984, 1.0000000000000016] | H1 U/E: 1.0009871020611727 [0.9999999999999989, 1.0062677257983608]
Spiked_rho0.8   | n=100 d=1000 s=40 | H2 U/E: 1.009624830724996 [1.0020207584111507, 1.0349187357281011] | Hinf U/E: 0.9999999999999987 [0.9999999999999938, 1.0000000000000067] | H1 U/E: 1.0000000000000027 [0.9999999999999934, 1.0141763376221997]
Gaussian        | n=100 d=2000 s=5  | H2 U/E: 1.0000142298912114 [1.000011290687152, 1.0000316493430257] | Hinf U/E: 1.0             [0.9999999999999998, 1.0000000000000002] | H1 U/E: 1.0000027950018935 [0.9999999999999998, 1.0001295061693447]
Spiked_rho0.5   | n=100 d=2000 s=5  | H2 U/E: 1.0001154267487107 [1.0000869815298248, 1.000195122025547] | Hinf U/E: 1.0             [0.9999999999999997, 1.0000000000000002] | H1 U/E: 1.0000610573795314 [0.9999999999999994, 1.0003490436493767]
Spiked_rho0.8   | n=100 d=2000 s=5  | H2 U/E: 1.0005463720546217 [1.000288293572794, 1.0011307832487955] | Hinf U/E: 1.0             [0.9999999999999996, 1.0000000000000004] | H1 U/E: 1.000195009523488 [0.9999999999999991, 1.001073701423069]
Gaussian        | n=100 d=2000 s=10 | H2 U/E: 1.0000177405414008 [1.0000114191322784, 1.0000486143170362] | Hinf U/E: 1.0             [0.9999999999999999, 1.0000000000000002] | H1 U/E: 1.0000000000000002 [0.9999999999999996, 1.0002809714654886]
Spiked_rho0.5   | n=100 d=2000 s=10 | H2 U/E: 1.0003220811834421 [1.000195784144932, 1.000602247343014] | Hinf U/E: 1.0             [0.9999999999999998, 1.0000000000000004] | H1 U/E: 1.0002957610536358 [0.9999999999999992, 1.0009461067479406]
Spiked_rho0.8   | n=100 d=2000 s=10 | H2 U/E: 1.001954168550473 [1.0011507128156982, 1.0049186822104603] | Hinf U/E: 1.0             [0.9999999999999986, 1.000000000000002] | H1 U/E: 1.0010083371689114 [0.9999999999999997, 1.0019584320629087]
Gaussian        | n=100 d=2000 s=20 | H2 U/E: 1.0000216241299258 [1.0000128984245016, 1.0000451777422366] | Hinf U/E: 1.0             [0.9999999999999997, 1.0000000000000002] | H1 U/E: 1.0000599711612592 [0.9999999999999997, 1.000572807761879]
Spiked_rho0.5   | n=100 d=2000 s=20 | H2 U/E: 1.0010956708325436 [1.0007149641150173, 1.0017901494035708] | Hinf U/E: 1.0             [0.9999999999999993, 1.0000000000000007] | H1 U/E: 1.00057669687369 [0.9999999999999987, 1.0016617562853132]
Spiked_rho0.8   | n=100 d=2000 s=20 | H2 U/E: 1.0060932191573044 [1.0026703451334396, 1.0167937368484496] | Hinf U/E: 1.0000000000000002 [0.9999999999999977, 1.0000000000000029] | H1 U/E: 1.0011521852560175 [0.9999999999999952, 1.006076233474738]
Gaussian        | n=100 d=2000 s=40 | H2 U/E: 1.000031395301912 [1.0000210212331178, 1.0001165732917192] | Hinf U/E: 1.0             [0.9999999999999996, 1.0000000000000002] | H1 U/E: 1.0000000000000004 [0.9999999999999992, 1.000624342664232]
Spiked_rho0.5   | n=100 d=2000 s=40 | H2 U/E: 1.000759497066596 [1.0001101241723633, 1.0027598757474925] | Hinf U/E: 0.9999999999999999 [0.9999999999999984, 1.0000000000000016] | H1 U/E: 1.0000470506296102 [0.9999999999999976, 1.0032640841291147]
Spiked_rho0.8   | n=100 d=2000 s=40 | H2 U/E: 1.00393122533458 [1.0004665166197526, 1.0226738899489982] | Hinf U/E: 1.0             [0.999999999999993, 1.0000000000000069] | H1 U/E: 1.0013675160529014 [0.9999999999999919, 1.0094891778510602]
Gaussian        | n=200 d=500  s=5  | H2 U/E: 1.0004940256923307 [1.0003561899280293, 1.0007274812321114] | Hinf U/E: 1.0             [0.9999999999999998, 1.0000000000000002] | H1 U/E: 1.0001952062430313 [0.9999999999999997, 1.001229779590765]
Spiked_rho0.5   | n=200 d=500  s=5  | H2 U/E: 1.000368315796928 [1.0002670450925493, 1.000508639801457] | Hinf U/E: 1.0             [0.9999999999999997, 1.0000000000000002] | H1 U/E: 1.0001784602163077 [0.9999999999999994, 1.0010225991595647]
Spiked_rho0.8   | n=200 d=500  s=5  | H2 U/E: 1.002104200899569 [1.0013403750758132, 1.0032655048555992] | Hinf U/E: 1.0             [0.9999999999999991, 1.0000000000000004] | H1 U/E: 1.0005288010956903 [0.9999999999999986, 1.0031836996512549]
Gaussian        | n=200 d=500  s=10 | H2 U/E: 1.000597112296664 [1.000484146198995, 1.0009473850774517] | Hinf U/E: 1.0             [0.9999999999999998, 1.0000000000000002] | H1 U/E: 1.0004849572290013 [0.9999999999999997, 1.0013165226179104]
Spiked_rho0.5   | n=200 d=500  s=10 | H2 U/E: 1.0009013048222282 [1.0006313201461425, 1.0012156637265655] | Hinf U/E: 1.0             [0.9999999999999997, 1.0000000000000002] | H1 U/E: 1.0005864483895541 [0.9999999999999994, 1.0022916259363264]
Spiked_rho0.8   | n=200 d=500  s=10 | H2 U/E: 1.0052904283675768 [1.0039583340268452, 1.0084018884434667] | Hinf U/E: 1.0             [0.9999999999999988, 1.0000000000000013] | H1 U/E: 1.0015039195695388 [0.9999999999999973, 1.005966972069464]
Gaussian        | n=200 d=500  s=20 | H2 U/E: 1.0007490582161638 [1.0004772170036236, 1.0010897160932573] | Hinf U/E: 1.0             [0.9999999999999998, 1.0000000000000002] | H1 U/E: 1.001128900419568 [0.9999999999999993, 1.0034866146183008]
Spiked_rho0.5   | n=200 d=500  s=20 | H2 U/E: 1.0027231808681516 [1.0020989995004703, 1.003532866259768] | Hinf U/E: 1.0             [0.9999999999999994, 1.0000000000000004] | H1 U/E: 1.0024995248559812 [1.000030594924687, 1.0067355685022554]
Spiked_rho0.8   | n=200 d=500  s=20 | H2 U/E: 1.0172910414303327 [1.009868588009874, 1.0245080132077822] | Hinf U/E: 0.9999999999999998 [0.9999999999999971, 1.000000000000002] | H1 U/E: 1.0060476584546143 [0.999999999999994, 1.0154778294890257]
Gaussian        | n=200 d=500  s=40 | H2 U/E: 1.0010950986373772 [1.0008618217327905, 1.0018313305728113] | Hinf U/E: 1.0             [0.9999999999999997, 1.0000000000000002] | H1 U/E: 1.0014462418566201 [0.9999999999999997, 1.0077157420371416]
